number_of_rows,ip,incoming_num,outgoing_num,user_type
54252,42.219.154.19,27265,26985,0
54187,42.219.145.88,27088,27077,0
54127,42.219.154.18,27151,26974,0
53232,42.219.155.111,27035,26195,0
53019,42.219.154.20,26819,26198,0
52855,42.219.158.224,31331,21522,0
52175,42.219.153.72,26441,25712,0
51956,42.219.153.81,28813,23141,0
51831,42.219.153.76,26135,25678,0
51745,42.219.153.44,26777,24966,0
51454,42.219.159.196,25799,25653,0
51213,42.219.158.173,25339,25728,0
50507,42.219.154.141,26451,24054,0
50258,42.219.154.178,25604,24652,0
50149,42.219.153.67,29862,20275,0
47972,42.219.159.83,22543,24189,0
47777,42.219.153.154,24128,23647,0
47727,42.219.153.101,25646,22065,0
47304,42.219.152.255,46501,801,0
46854,42.219.154.150,23504,23348,0
46312,42.219.154.131,23984,22326,0
45448,42.219.153.190,22181,23265,0
44904,42.219.158.176,22118,22784,0
44585,42.219.153.57,25735,18848,0
44309,42.219.155.57,22420,21887,0
44259,42.219.153.8,20534,23723,0
43848,42.219.154.118,22229,21617,0
43723,42.219.153.112,22488,21233,0
42902,42.219.159.69,20342,22557,0
42773,42.219.154.152,22025,20746,0
42466,42.219.154.180,21529,20935,0
42251,42.219.159.171,16884,22264,0
41856,42.219.154.155,22062,19792,0
41727,42.219.154.110,20844,20881,0
41198,42.219.153.15,22550,18624,0
40883,42.219.153.68,23603,17278,0
40322,42.219.159.71,17545,22776,0
40166,42.219.154.186,20541,19623,0
39292,42.219.154.147,20039,19251,0
39140,42.219.153.40,22042,17096,0
38809,42.219.153.53,19449,19358,0
38249,42.219.155.81,19810,18437,0
37745,42.219.145.19,18790,18953,0
37382,42.219.157.11,18318,19062,0
37358,42.219.145.240,18851,18505,0
36725,42.219.155.1,12762,23961,0
36714,42.219.159.170,17620,17506,0
35988,42.219.155.181,17534,18452,0
35784,42.219.156.196,18087,17695,0
35051,42.219.153.176,20457,14592,0
34728,42.219.154.134,17574,17152,0
34719,42.219.156.199,17556,17161,0
34484,42.219.153.35,17653,16829,0
34421,42.219.155.135,15964,18455,0
34156,42.219.153.244,19283,14871,0
33905,42.219.154.146,17164,16739,0
33511,42.219.153.159,19328,14181,0
33219,42.219.159.183,17071,16146,0
33074,42.219.153.220,18527,14545,0
32966,42.219.156.197,16666,16298,0
32773,42.219.155.133,15227,17544,0
32669,42.219.145.119,9719,22948,0
32648,42.219.154.144,16508,16138,0
32466,42.219.154.158,16568,15896,0
32303,42.219.153.45,16574,15723,0
31894,42.219.153.233,18410,13482,0
31881,42.219.154.185,16330,15549,0
31768,42.219.159.104,16121,15646,0
31738,42.219.157.29,16011,15725,0
31424,42.219.153.131,18189,13233,0
31020,42.219.155.69,15817,15201,0
30973,42.219.153.119,17874,13097,0
30670,42.219.156.194,15523,15145,0
30168,42.219.159.59,14742,15425,0
29969,42.219.153.238,14923,15044,0
29918,42.219.154.124,15201,14715,0
29893,42.219.158.240,16678,13213,0
29276,42.219.153.39,16581,12693,0
28785,42.219.154.102,14837,13946,0
28490,42.219.153.234,14511,13951,0
28070,42.219.158.205,15360,12708,0
27943,42.219.145.234,14182,13759,0
27862,42.219.153.79,13989,13871,0
27564,42.219.154.145,13969,13593,0
27262,42.219.154.184,13861,13399,0
27147,42.219.153.59,13708,13402,0
27101,42.219.156.237,14086,13013,0
26962,42.219.159.190,1385,25542,0
26756,42.219.155.23,14289,12465,0
26619,42.219.153.197,12910,13707,0
26616,42.219.153.226,15883,10731,0
26522,42.219.153.47,14689,11831,0
26000,42.219.155.11,13005,12993,0
25406,42.219.154.188,12898,12506,0
25379,42.219.153.83,15485,9465,0
25149,42.219.159.127,14001,11147,0
24805,42.219.156.226,12424,12377,0
24789,42.219.153.18,13768,11019,0
24374,42.219.154.191,12481,11891,0
24060,42.219.159.64,10925,13133,0
23765,42.219.155.93,23764,0,2
23698,42.219.153.218,13648,10048,0
23626,42.219.153.250,14287,9337,0
23457,42.219.158.225,12204,11251,0
23410,42.219.159.80,5904,17504,0
23399,42.219.153.4,13655,9742,0
23332,42.219.153.49,12041,11289,0
23188,42.219.159.189,23187,0,2
23154,42.219.155.128,12925,10227,0
22544,42.219.155.189,11569,10973,0
22393,42.219.155.29,11414,10977,0
22300,42.219.159.84,11033,11265,0
22236,42.219.155.5,11142,11092,0
22062,42.219.153.236,11595,10465,0
22038,42.219.153.100,12654,9382,0
21802,42.219.153.166,12257,9543,0
21146,42.219.158.169,10794,10350,0
20925,42.219.159.120,17642,3281,0
20168,42.219.153.64,11130,9036,0
19485,42.219.159.192,10766,8717,0
19465,42.219.153.80,11121,8342,0
19370,42.219.153.227,10209,9159,0
19136,42.219.153.2,10793,8341,0
19100,42.219.153.110,19099,0,2
19058,42.219.153.163,11233,7823,0
19054,42.219.159.122,10404,8648,0
19014,42.219.159.216,19013,0,2
18820,42.219.153.60,10613,8205,0
18762,42.219.154.189,9592,9028,0
18522,42.219.153.24,10115,8405,0
18379,42.219.158.174,9177,9200,0
18375,42.219.154.148,9799,8574,0
18162,42.219.153.198,9402,8758,0
18142,42.219.158.216,10727,7413,0
18079,42.219.154.177,9337,8740,0
17845,42.219.158.183,10298,7545,0
17738,42.219.158.255,10610,7102,0
17555,42.219.158.236,10313,7240,0
17531,42.219.153.125,9531,7998,0
17506,42.219.153.222,10370,7134,0
17366,42.219.155.20,13251,4113,0
17248,42.219.157.2,9451,7795,0
17103,42.219.153.193,10293,6808,0
16884,42.219.159.185,3658,13215,0
16467,42.219.158.211,9982,6483,0
16130,42.219.153.140,9600,6528,0
16095,42.219.154.113,8355,7738,0
16056,42.219.156.248,8973,7081,0
16025,42.219.153.251,8949,7074,0
15899,42.219.153.17,8367,7530,0
15804,42.219.153.209,9224,6578,0
15560,42.219.154.45,8028,7530,0
15436,42.219.153.178,8362,7072,0
15391,42.219.153.225,7917,7472,0
14882,42.219.155.104,7543,7337,0
14746,42.219.158.227,8360,6384,0
14603,42.219.159.68,7388,7213,0
14479,42.219.156.233,6647,7830,0
14322,42.219.157.206,6535,7785,0
14322,42.219.154.56,8507,5813,0
14227,42.219.156.193,7312,6913,0
14199,42.219.153.9,7559,6638,0
14108,42.219.158.163,7083,7023,0
14077,42.219.155.87,7803,6272,0
13984,42.219.153.241,7377,6605,0
13814,42.219.155.13,7189,6623,0
13805,42.219.145.125,7852,5951,0
13702,42.219.158.196,7935,5765,0
13701,42.219.153.240,7924,5744,0
13693,42.219.154.153,7129,6562,0
13677,42.219.153.75,7366,6309,0
13630,42.219.152.251,7708,5920,0
13370,42.219.158.172,6700,6668,0
13360,42.219.158.162,7003,6355,0
13340,42.219.158.189,6771,6567,0
13109,42.219.155.164,6759,6348,0
13016,42.219.155.123,6774,6240,0
12927,42.219.153.158,6887,6038,0
12853,42.219.155.6,6721,6130,0
12846,42.219.153.150,5715,7129,0
12831,42.219.159.66,12830,0,2
12722,42.219.153.130,7448,5272,0
12615,42.219.155.10,6625,5697,0
12565,42.219.156.232,5244,7319,0
12553,42.219.155.19,6340,6211,0
12312,42.219.155.129,7440,4870,0
12265,42.219.159.133,3664,8597,0
12025,42.219.157.235,1688,10331,0
12011,42.219.153.133,7314,4695,0
11853,42.219.156.228,5208,6643,0
11783,42.219.153.91,6054,5712,0
11764,42.219.153.169,6174,5588,0
11700,42.219.154.179,6098,5600,0
11552,42.219.154.143,5517,5752,0
11481,42.219.153.36,6358,5121,0
11395,42.219.157.220,5793,5601,0
11265,42.219.155.132,5814,5449,0
11092,42.219.152.254,5760,5039,0
11023,42.219.153.179,6628,4393,0
10840,42.219.155.65,5645,5193,0
10744,42.219.153.204,6031,4711,0
10529,42.219.153.113,6415,4112,0
10487,42.219.156.230,5321,5164,0
10417,42.219.153.162,4788,5627,0
10356,42.219.158.243,6282,4072,0
10190,42.219.153.214,5383,4805,0
10179,42.219.153.143,5629,4548,0
10065,42.219.158.171,10064,0,2
9806,42.219.153.55,5199,4605,0
9791,42.219.158.229,7903,1886,0
9628,42.219.158.223,5904,3722,0
9614,42.219.153.25,6079,3533,0
9599,42.219.157.145,5340,4257,0
9474,42.219.155.116,5165,4307,0
9423,42.219.159.164,1941,7467,0
9392,42.219.153.210,5493,3897,0
9338,42.219.153.152,5669,3667,0
9337,42.219.153.141,5125,4210,0
9319,42.219.152.246,5103,4214,0
9289,42.219.154.190,4939,4348,0
9228,42.219.153.165,5248,3978,0
9019,42.219.153.48,4974,4043,0
8900,42.219.153.0,5074,3824,0
8739,42.219.159.142,3629,5108,0
8587,42.219.145.159,4418,4167,0
8501,42.219.155.12,4547,3952,0
8499,42.219.154.172,4515,3982,0
8457,42.219.153.132,4791,3664,0
8411,42.219.155.22,4017,4392,0
8386,42.219.156.241,4233,4151,0
8356,42.219.153.221,5253,3101,0
8245,42.219.153.33,4664,3579,0
8177,42.219.156.186,4417,3759,0
7912,42.219.159.191,953,6948,0
7853,42.219.155.70,3715,4137,0
7816,42.219.152.123,4089,3724,0
7782,42.219.154.187,4149,3631,0
7625,42.219.153.23,4291,3332,0
7619,42.219.156.240,3823,3794,0
7368,42.219.145.70,3403,3963,0
7299,42.219.159.188,2561,4736,0
7136,42.219.158.249,4233,2901,0
7102,42.219.153.194,4009,3091,0
7045,42.219.159.219,3808,3235,0
7023,42.219.145.224,3833,3188,0
7005,42.219.145.151,3875,3128,0
7000,42.219.154.183,3792,3206,0
6980,42.219.153.202,3925,3053,0
6842,42.219.158.253,4103,2737,0
6827,42.219.152.207,778,6047,0
6686,42.219.157.22,4179,2505,0
6610,42.219.153.115,3818,2790,0
6558,42.219.155.78,3423,3133,0
6437,42.219.153.63,3405,3030,0
6400,42.219.153.54,3288,3110,0
6388,42.219.155.72,3427,2959,0
6319,42.219.154.173,3428,2889,0
6314,42.219.155.86,3506,2806,0
6244,42.219.159.187,769,5474,0
6208,42.219.153.111,3545,2661,0
6157,42.219.157.28,3166,2989,0
6124,42.219.155.131,3302,2820,0
5925,42.219.155.82,3047,2876,0
5880,42.219.159.159,569,0,2
5873,42.219.159.103,2961,2911,0
5840,42.219.158.209,3353,2485,0
5835,42.219.153.114,3408,2425,0
5798,42.219.153.246,3085,1965,0
5733,42.219.158.214,2991,2740,0
5709,42.219.153.37,3293,2414,0
5705,42.219.155.190,2979,2724,0
5654,42.219.155.191,2931,2721,0
5644,42.219.158.251,3398,2244,0
5636,42.219.153.108,3404,2230,0
5630,42.219.159.186,559,19,0
5585,42.219.157.7,3059,2524,0
5562,42.219.150.253,3359,2201,0
5510,42.219.153.208,3076,2240,0
5439,42.219.154.115,3009,2428,0
5218,42.219.154.181,2868,2348,0
5169,42.219.155.27,2861,2306,0
5123,42.219.159.177,5122,0,2
5121,42.219.159.158,647,0,2
5100,42.219.156.184,2916,2182,0
5090,42.219.158.217,3189,1899,0
5013,42.219.153.242,2899,2112,0
4948,42.219.153.146,3234,1712,0
4867,42.219.157.9,2540,2325,0
4795,42.219.170.246,0,0,3
4736,42.219.155.75,3399,1335,0
4686,42.219.156.244,3249,1436,0
4686,42.219.152.241,2595,2089,0
4528,42.219.159.220,2055,2350,0
4472,42.219.153.145,2661,1809,0
4430,42.219.153.5,2565,1852,0
4339,42.219.145.226,2552,1777,0
4225,42.219.158.238,2145,2078,0
4223,42.219.157.15,2253,1968,0
4197,42.219.155.25,2413,1783,0
3935,42.219.155.68,2074,1859,0
3899,42.219.152.238,2299,1598,0
3898,42.219.155.89,2192,1704,0
3883,42.219.153.142,2284,1597,0
3864,42.219.154.63,2227,1635,0
3765,42.219.153.65,2283,1363,0
3579,42.219.154.55,2130,1447,0
3560,42.219.157.246,969,2585,0
3520,42.219.155.21,2281,1237,0
3436,42.219.152.57,3435,0,2
3346,42.219.153.144,3345,0,2
3283,42.219.153.99,1677,1604,0
3258,42.219.153.16,1903,1353,0
3228,42.219.155.4,1818,1408,0
3225,42.219.154.30,3224,0,2
3210,42.219.155.64,1881,1327,0
3191,42.219.153.184,1866,1323,0
3186,42.219.145.225,1976,1208,0
3175,42.219.159.107,1851,1323,0
3131,42.219.155.85,1844,1285,0
3092,42.219.155.77,1806,1284,0
3089,42.219.155.155,1222,1865,0
3053,42.219.155.154,1217,1834,0
3008,42.219.155.31,3007,0,2
2966,42.219.157.13,1467,1497,0
2843,42.219.155.66,1701,1140,0
2831,42.219.153.61,1733,1096,0
2825,42.219.155.30,1713,1110,0
2814,42.219.155.83,1654,1158,0
2810,42.219.155.18,2809,0,2
2785,42.219.155.17,2784,0,2
2767,42.219.152.240,1768,997,0
2755,42.219.155.79,1660,1093,0
2752,42.219.155.91,1616,1134,0
2718,42.219.156.188,1809,908,0
2674,42.219.153.6,1569,1098,0
2650,42.219.156.189,1774,875,0
2634,42.219.156.187,1747,886,0
2634,42.219.153.82,1583,1049,0
2582,42.219.156.190,1718,863,0
2534,42.219.153.215,2368,164,0
2486,42.219.153.170,1436,1048,0
2447,42.219.153.216,1298,1147,0
2438,42.219.153.71,1370,1066,0
2423,42.219.158.231,1432,989,0
2402,42.219.145.17,1558,842,0
2337,42.219.145.241,1420,915,0
2022,42.219.153.174,1301,719,0
2021,42.219.156.227,1293,726,0
2019,42.219.153.187,1033,984,0
1977,42.219.158.157,1226,749,0
1951,42.219.153.42,1950,0,2
1895,42.219.153.172,1217,676,0
1869,42.219.152.229,1277,590,0
1862,42.219.153.229,1135,725,0
1744,42.219.158.228,1743,0,2
1625,42.219.148.236,1624,0,2
1572,42.219.155.185,879,691,0
1552,42.219.157.221,1032,518,0
1491,42.219.152.127,994,495,0
1443,42.219.159.207,1009,432,0
1426,42.219.159.200,826,598,0
1423,42.219.149.71,1422,0,2
1420,42.219.155.179,968,450,0
1392,42.219.152.211,1018,372,0
1386,42.219.158.219,951,433,0
1346,42.219.152.204,999,345,0
1341,42.219.159.210,979,360,0
1306,42.219.153.14,769,533,0
1305,42.219.152.202,953,350,0
1302,42.219.159.114,882,419,0
1298,42.219.158.170,935,361,0
1297,42.219.153.69,886,255,0
1279,42.219.159.198,935,342,0
1253,42.219.153.31,963,288,0
1251,42.219.152.200,911,338,0
1246,42.219.157.254,878,366,0
1239,42.219.157.205,911,326,0
1236,42.219.152.124,1122,112,0
1227,42.219.159.202,899,326,0
1190,42.219.150.255,918,271,0
1188,42.219.157.236,863,323,0
1184,42.219.157.253,860,322,0
1162,42.219.153.10,860,300,0
1129,42.219.145.148,807,320,0
1122,42.219.156.33,1121,0,2
1115,42.219.157.225,591,0,2
1102,42.219.157.241,578,0,2
1086,42.219.157.230,563,0,2
1080,42.219.146.188,1079,0,2
1077,42.219.147.184,1076,0,2
1064,42.219.155.97,668,394,0
1053,42.219.157.234,555,496,0
1036,42.219.149.97,1035,0,2
1031,42.219.153.183,1030,0,2
1026,42.219.152.209,908,116,0
1024,42.219.153.212,668,354,0
1019,42.219.159.105,933,85,0
1005,42.219.155.3,813,190,0
1004,42.219.155.145,594,408,0
1004,42.219.153.92,786,216,0
1003,42.219.153.151,774,227,0
1002,42.219.155.177,751,249,0
990,42.219.153.28,796,192,0
986,42.219.145.110,750,234,0
966,42.219.155.187,572,392,0
962,42.219.155.153,591,370,0
961,42.219.155.152,570,389,0
955,42.219.155.144,587,367,0
954,42.219.152.122,716,236,0
928,42.219.151.234,927,0,2
914,42.219.157.5,768,144,0
912,42.219.154.125,897,13,0
908,42.219.153.122,751,155,0
897,42.219.152.203,787,108,0
892,42.219.145.247,696,194,0
890,42.219.159.218,889,0,2
888,42.219.152.205,774,112,0
880,42.219.157.1,753,125,0
876,42.219.151.142,875,0,2
875,42.219.152.210,769,104,0
867,42.219.159.49,866,0,2
864,42.219.153.94,844,18,0
861,42.219.157.109,860,0,2
861,42.219.145.82,860,0,2
853,42.219.157.249,566,0,2
851,42.219.154.202,656,193,0
848,42.219.145.232,847,0,2
839,42.219.155.110,838,0,2
831,42.219.148.178,830,0,2
829,42.219.148.247,828,0,2
824,42.219.147.200,823,0,2
822,42.219.149.44,821,0,2
819,42.219.148.194,818,0,2
817,42.219.152.206,711,104,0
814,42.219.154.75,813,0,2
810,42.219.153.171,679,129,0
810,42.219.147.153,809,0,2
808,42.219.148.135,807,0,2
807,42.219.148.146,806,0,2
806,42.219.158.222,716,88,0
806,42.219.151.158,805,0,2
804,42.219.157.21,635,167,0
802,42.219.155.73,801,0,2
801,42.219.148.240,800,0,2
800,42.219.154.44,711,87,0
797,42.219.149.55,796,0,2
794,42.219.147.175,793,0,2
793,42.219.149.95,792,0,2
792,42.219.149.75,791,0,2
789,42.219.151.134,713,74,0
789,42.219.149.9,788,0,2
789,42.219.148.205,788,0,2
788,42.219.147.174,787,0,2
787,42.219.155.178,635,150,0
787,42.219.149.123,786,0,2
785,42.219.153.11,712,71,0
784,42.219.159.129,682,100,0
784,42.219.147.228,783,0,2
782,42.219.147.225,781,0,2
778,42.219.148.190,777,0,2
777,42.219.155.124,776,0,2
777,42.219.149.82,776,0,2
775,42.219.149.62,774,0,2
775,42.219.148.249,774,0,2
774,42.219.149.64,773,0,2
772,42.219.153.109,687,83,0
772,42.219.149.125,771,0,2
771,42.219.153.1,690,79,0
771,42.219.151.135,715,55,0
771,42.219.144.150,770,0,2
768,42.219.153.243,703,63,0
768,42.219.150.25,767,0,2
767,42.219.152.224,766,0,2
767,42.219.149.46,766,0,2
766,42.219.156.225,697,68,0
766,42.219.147.232,765,0,2
765,42.219.152.201,680,83,0
765,42.219.149.113,764,0,2
762,42.219.148.134,761,0,2
761,42.219.159.203,727,32,0
760,42.219.147.139,759,0,2
759,42.219.156.224,758,0,2
759,42.219.148.139,758,0,2
758,42.219.150.199,757,0,2
758,42.219.146.136,757,0,2
757,42.219.159.140,680,73,0
756,42.219.150.128,755,0,2
756,42.219.149.92,755,0,2
756,42.219.149.23,755,0,2
755,42.219.149.86,754,0,2
755,42.219.149.78,754,0,2
755,42.219.149.41,754,0,2
754,42.219.158.244,664,88,0
754,42.219.155.141,704,48,0
754,42.219.147.143,753,0,2
753,42.219.158.247,677,74,0
753,42.219.149.116,752,0,2
753,42.219.148.176,752,0,2
753,42.219.148.150,752,0,2
753,42.219.146.242,752,0,2
752,42.219.148.245,751,0,2
752,42.219.147.159,751,0,2
751,42.219.149.72,750,0,2
750,42.219.148.179,749,0,2
750,42.219.147.140,749,0,2
750,42.219.147.131,749,0,2
749,42.219.157.144,724,24,0
749,42.219.145.111,748,0,2
748,42.219.149.5,747,0,2
748,42.219.148.225,747,0,2
747,42.219.153.70,674,71,0
747,42.219.149.2,746,0,2
747,42.219.149.100,746,0,2
747,42.219.148.191,746,0,2
746,42.219.155.67,745,0,2
746,42.219.149.93,745,0,2
746,42.219.149.59,745,0,2
746,42.219.149.120,745,0,2
745,42.219.147.149,744,0,2
744,42.219.159.128,686,56,0
743,42.219.148.172,742,0,2
743,42.219.148.159,742,0,2
743,42.219.147.231,742,0,2
743,42.219.146.245,742,0,2
742,42.219.154.219,741,0,2
742,42.219.148.200,741,0,2
741,42.219.154.27,740,0,2
741,42.219.154.24,740,0,2
740,42.219.148.160,739,0,2
740,42.219.148.138,739,0,2
740,42.219.146.38,739,0,2
739,42.219.144.206,738,0,2
738,42.219.155.92,644,92,0
738,42.219.150.177,737,0,2
738,42.219.149.103,737,0,2
738,42.219.149.102,737,0,2
737,42.219.159.228,736,0,2
737,42.219.158.250,666,69,0
737,42.219.149.6,736,0,2
737,42.219.149.51,736,0,2
737,42.219.148.189,736,0,2
737,42.219.146.168,736,0,2
736,42.219.146.153,735,0,2
735,42.219.153.121,679,54,0
735,42.219.149.73,734,0,2
734,42.219.153.73,662,70,0
734,42.219.149.80,733,0,2
734,42.219.147.169,733,0,2
734,42.219.147.132,733,0,2
734,42.219.146.191,733,0,2
734,42.219.145.23,733,0,2
733,42.219.147.235,732,0,2
733,42.219.147.215,732,0,2
733,42.219.146.160,732,0,2
732,42.219.151.222,731,0,2
732,42.219.147.136,731,0,2
731,42.219.154.23,730,0,2
731,42.219.149.79,730,0,2
731,42.219.149.67,730,0,2
731,42.219.148.207,730,0,2
731,42.219.146.222,730,0,2
730,42.219.148.180,729,0,2
730,42.219.147.187,729,0,2
730,42.219.147.162,729,0,2
729,42.219.155.140,601,126,0
729,42.219.148.233,728,0,2
729,42.219.146.194,728,0,2
728,42.219.147.161,727,0,2
728,42.219.147.151,727,0,2
727,42.219.154.51,726,0,2
727,42.219.149.14,726,0,2
727,42.219.148.223,726,0,2
727,42.219.148.161,726,0,2
726,42.219.157.78,725,0,2
726,42.219.150.198,724,0,2
726,42.219.149.69,725,0,2
726,42.219.149.21,725,0,2
726,42.219.146.166,725,0,2
725,42.219.148.253,724,0,2
724,42.219.148.164,723,0,2
724,42.219.147.141,723,0,2
723,42.219.148.237,722,0,2
723,42.219.148.170,722,0,2
723,42.219.147.240,722,0,2
722,42.219.155.183,593,127,0
722,42.219.149.16,721,0,2
